Traces_Median_Delta_From_Traces_Elapsed_Time_null,UNIT_CATEGORY,RemainingTime,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,NumExecution_Current_Activity,Count_Concurrent_Instances,CONTAINER_TYPE,UNIT_FREIGHT_KIND,Median_Elapsed_Time_Concurrent_Instances,LINE_OPERATOR,Mean_Elapsed_Time_Concurrent_Instances,UNIT_GKEY,Trace_Start_Time,CLASS
-1199000,EXPRT,?,-77253996,?,624,20RG,MTY,54478000,4185,48372676,2672669022,?,'[4.6604E8,5.20066E8['
0,EXPRT,?,15002848,?,3628,20RG,MTY,169159000,4103,166164724,2672889406,?,'[1.058038E9,1.522382E9['
125116000,EXPRT,?,33895194,?,3623,20RG,MTY,168939000,4185,177485536,2672747766,?,'[2.24119E8,3.11746E8['
-16537000,EXPRT,?,-73196856,?,626,40RG,MTY,13873000,4103,34796903,2672750002,?,'[3.11746E8,3.649E8['
-16312000,EXPRT,?,-73798603,?,624,20RG,MTY,11077000,4103,32844756,2672791765,?,'[6.24443E8,1.058038E9['
-12725000,EXPRT,?,-70483619,?,624,20RG,MTY,52767500,4185,33465660,2672707682,?,'[4.6604E8,5.20066E8['
-1198000,EXPRT,?,-77068115,?,624,20RG,MTY,54773000,4076,46002367,2672679372,?,'[2.17554E8,2.24119E8['
-16519000,EXPRT,?,-72972248,?,624,20RG,MTY,12521000,4103,33862028,2672750180,?,'[6.24443E8,1.058038E9['
-4965000,EXPRT,?,-72742390,?,624,40HC,MTY,57534000,4037,36139306,2672727838,?,'[5.20066E8,6.24443E8['
-16587500,EXPRT,?,-73934095,?,624,20RG,MTY,12096000,4076,33628757,2672798531,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,-18004131,?,3733,20RG,MTY,170141000,4103,139360480,2672842841,?,'[5.20066E8,6.24443E8['
-15628000,EXPRT,?,-73291781,?,624,20RG,MTY,57602000,4076,35486695,2672704022,?,'[2.17554E8,2.24119E8['
-1199000,EXPRT,?,-78258657,?,624,20RG,MTY,54270000,4103,48388438,2672660894,?,'[6.24443E8,1.058038E9['
-15959000,EXPRT,?,-73710937,?,624,20RG,MTY,10642000,4185,32780262,2672759003,?,'[3.11746E8,3.649E8['
-15628000,EXPRT,?,-73815031,?,624,20RG,MTY,57695000,4076,35581451,2672712493,?,'[2.17554E8,2.24119E8['
-16444000,EXPRT,?,-73586640,?,624,20RG,MTY,12073000,4076,33444843,2672798616,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,-2958801,?,3660,40RG,MTY,170064000,4045,158247215,2672829861,?,'[3.649E8,4.6604E8['
-16417000,EXPRT,?,-74025999,?,624,40HC,FCL,11019000,4281,33020854,2672780012,?,'[5.20066E8,6.24443E8['
-15959000,EXPRT,?,-74418159,?,624,20RG,MTY,57879000,4076,35980687,2672703942,?,'[2.17554E8,2.24119E8['
-16390000,EXPRT,?,-74004009,?,624,20RG,MTY,11950000,4185,33395660,2672777088,?,'[4.6604E8,5.20066E8['
-16390000,EXPRT,?,-73798767,?,624,20RG,MTY,11104000,4076,32871770,2672792066,?,'[2.13063E8,2.17554E8['
-15959000,EXPRT,?,-74529481,?,624,20RG,MTY,58139000,4076,36736911,2672696416,?,'[2.17554E8,2.24119E8['
-923000,EXPRT,?,-50932135,?,6499,40HC,FCL,38588000,4185,80359186,2672903127,?,'[2.24119E8,3.11746E8['
-15379000,EXPRT,?,-72341726,?,624,20RG,MTY,11949000,4185,33013152,2672775613,?,'[3.11746E8,3.649E8['
-16089000,EXPRT,?,-74439918,?,624,20RG,MTY,57861000,4185,35956630,2672679215,?,'[4.6604E8,5.20066E8['
-16176500,EXPRT,?,-73440758,?,624,20RG,MTY,10806000,4047,32797652,2672727749,?,'[1.058038E9,1.522382E9['
-16462500,EXPRT,?,-73520597,?,624,40HC,FCL,12904000,4037,34038505,2672813886,?,'[5.20066E8,6.24443E8['
6756500,EXPRT,?,-10878702,?,3619,40RG,MTY,168105000,4103,178808830,2672896697,?,'[7.8491E7,2.13063E8['
-14095000,EXPRT,?,-70422826,?,624,40HC,MTY,52868500,4047,33569408,2672756275,?,'[4.6604E8,5.20066E8['
-13281000,EXPRT,?,-70061526,?,624,40HC,MTY,52929000,4037,33454228,2672738953,?,'[5.20066E8,6.24443E8['
-16390000,EXPRT,?,-73776575,?,624,20RG,MTY,11148000,4076,32915473,2672790228,?,'[2.13063E8,2.17554E8['
-16519000,EXPRT,?,-73206895,?,626,20RG,MTY,14332000,4103,34993606,2672826870,?,'[6.24443E8,1.058038E9['
0,EXPRT,?,-37046097,?,10590,40RG,FCL,142668000,4185,138658902,2672739596,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,3001842,?,3654,40HC,FCL,169699000,4103,160716253,2672729382,?,'[3.11746E8,3.649E8['
-15791000,EXPRT,?,-73239348,?,624,20RG,FCL,10817000,4060,32730302,2672724414,?,'[5.20066E8,6.24443E8['
-836000,EXPRT,?,-49546941,?,6415,40RH,FCL,75222500,4185,110059043,2672757746,?,'[7.8491E7,2.13063E8['
-1197000,EXPRT,?,-78550921,?,629,20RG,MTY,52554000,4047,50541899,2672644300,?,'[1.058038E9,1.522382E9['
-16537000,EXPRT,?,-74185217,?,624,40RG,FCL,11874000,4103,33401865,2672774579,?,'[5.20066E8,6.24443E8['
-818000,EXPRT,?,-48520159,?,6400,20RG,FCL,73599000,4060,109889392,2672757905,?,'[7.8491E7,2.13063E8['
-856000,EXPRT,?,-50605223,?,6499,40HC,FCL,40689000,4185,82460185,2672903082,?,'[2.24119E8,3.11746E8['
-16390000,EXPRT,?,-73794031,?,624,20RG,MTY,11170000,4103,32922103,2672709661,?,'[6.24443E8,1.058038E9['
-16312000,EXPRT,?,-73761033,?,624,20RG,MTY,11173000,4076,32941915,2672797416,?,'[2.13063E8,2.17554E8['
0,EXPRT,?,-842854,?,3659,20RG,MTY,169976500,4103,160114307,2672873262,?,'[5.20066E8,6.24443E8['
9586000,EXPRT,?,28031137,?,3627,20RG,MTY,169045000,4185,173839239,2672834922,?,'[2.24119E8,3.11746E8['
-16595500,EXPRT,?,-73086292,?,626,40HC,MTY,15255000,4173,35847358,2672874236,?,'[3.649E8,4.6604E8['
-16462500,EXPRT,?,-73612374,?,624,20RG,MTY,11688000,4185,33223059,2672814908,?,'[4.6604E8,5.20066E8['
-15379000,EXPRT,?,-78070929,?,624,40HC,FCL,56404000,4076,40686059,2672679066,?,'[2.17554E8,2.24119E8['
-16537000,EXPRT,?,-73234822,?,626,20RG,FCL,14270000,4060,35013735,2672845341,?,'[3.649E8,4.6604E8['
0,EXPRT,?,-7163053,?,3676,40HC,FCL,170441500,4185,151601056,2672870077,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,-20291569,?,3766,20RG,MTY,170497000,4047,130470804,2672782289,?,'[6.24443E8,1.058038E9['
6560000,EXPRT,?,-15384047,?,3614,20RG,MTY,167459000,4185,180704090,2672715010,?,'[3.11746E8,3.649E8['
-16176500,EXPRT,?,-73668306,?,624,40HC,MTY,10900000,4185,32897189,2672757742,?,'[1.058038E9,1.522382E9['
-16108000,EXPRT,?,-75310859,?,624,20RG,MTY,58044000,4076,36486647,2672698909,?,'[2.17554E8,2.24119E8['
-16498000,EXPRT,?,-73667511,?,624,20RG,MTY,12210000,4103,33410410,2672714966,?,'[6.24443E8,1.058038E9['
-15628000,EXPRT,?,-72734485,?,624,20RG,MTY,14142000,4185,33516031,2672729356,?,'[3.11746E8,3.649E8['
-15628000,EXPRT,?,-73332858,?,624,40HC,FCL,57631000,4076,35418897,2672712500,?,'[2.17554E8,2.24119E8['
-4965000,EXPRT,?,-78159845,?,624,20RG,MTY,56204000,4076,42558476,2672687186,?,'[2.17554E8,2.24119E8['
-16139000,EXPRT,?,-73660858,?,624,20RG,MTY,10561000,4103,32721973,2672779013,?,'[6.24443E8,1.058038E9['
-16537000,EXPRT,?,-73188877,?,626,20RG,MTY,13827000,4185,34757535,2672781200,?,'[4.6604E8,5.20066E8['
-14153000,EXPRT,?,-70302584,?,624,20RG,MTY,33277000,4185,33478295,2672732075,?,'[3.11746E8,3.649E8['
6756500,EXPRT,?,-8170176,?,3619,40HC,MTY,168224000,4185,178910507,2672811524,?,'[6.24443E8,1.058038E9['
0,EXPRT,?,-24296752,?,4898,40HC,MTY,12971000,4047,83292998,2672893798,?,'[2.24119E8,3.11746E8['
-15379000,EXPRT,?,-72328298,?,624,40HC,FCL,11981000,4173,33040814,2672756273,?,'[3.649E8,4.6604E8['
-16537000,EXPRT,?,-72673059,?,626,40HC,FCL,15609000,4060,35990029,2672857871,?,'[4.6604E8,5.20066E8['
0,EXPRT,?,-21481773,?,4106,40HC,MTY,11784500,4095,94302103,2672861626,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,-23120385,?,4686,20RG,FCL,12489000,4185,85385383,2672783119,?,'[2.24119E8,3.11746E8['
-1199000,EXPRT,?,-77659674,?,624,20RG,MTY,54474000,4103,48348370,2672623119,?,'[6.24443E8,1.058038E9['
-830500,EXPRT,?,-48704237,?,6405,40HC,FCL,74466000,4060,110453806,2672758035,?,'[7.8491E7,2.13063E8['
-16089000,EXPRT,?,-74480186,?,624,20RG,MTY,57819000,4076,35919267,2672699026,?,'[2.17554E8,2.24119E8['
6953000,EXPRT,?,-7718388,?,3619,20RG,FCL,167950000,4103,179392908,2672787360,?,'[2.24119E8,3.11746E8['
-15959000,EXPRT,?,-75001437,?,624,20RG,MTY,58068000,4185,36674027,2672729528,?,'[3.11746E8,3.649E8['
-4965000,EXPRT,?,-72745600,?,624,40HC,FCL,57508000,4281,36108119,2672703969,?,'[5.20066E8,6.24443E8['
0,EXPRT,?,-35280039,?,5630,40HC,FCL,18239000,4185,69140555,2672750031,?,'[2.24119E8,3.11746E8['
-15083000,EXPRT,?,-70706507,?,624,20RG,MTY,53238000,4076,33919953,2672747668,?,'[2.13063E8,2.17554E8['
-910500,EXPRT,?,-50765361,?,6499,40HC,FCL,39048000,4103,80819371,2672903812,?,'[2.24119E8,3.11746E8['
-15247000,EXPRT,?,-72965076,?,624,20RG,MTY,57687000,1365373081,36291177,2672720058,?,'[1.058038E9,1.522382E9['
-16477000,EXPRT,?,-73690740,?,624,20RG,FCL,11609000,4037,33206055,2672722076,?,'[5.20066E8,6.24443E8['
-16163500,EXPRT,?,-74023116,?,624,40RG,FCL,10547000,4103,32860675,2672747691,?,'[5.20066E8,6.24443E8['
6560000,EXPRT,?,-14939925,?,3613,40HC,FCL,167389000,4281,180659758,2672881788,?,'[3.649E8,4.6604E8['
-16563500,EXPRT,?,-73263984,?,626,20RG,MTY,13539000,4185,34639034,2672853889,?,'[4.6604E8,5.20066E8['
-13281000,EXPRT,?,-72021502,?,624,20RG,MTY,57675000,4076,36271444,2672687870,?,'[2.17554E8,2.24119E8['
-1197000,EXPRT,?,-78533803,?,629,20RG,MTY,52978000,4047,50775770,2672650755,?,'[1.058038E9,1.522382E9['
117943000,EXPRT,?,32261203,?,3625,20RG,MTY,168931000,4047,176125386,2672796367,?,'[6.24443E8,1.058038E9['
-16572000,EXPRT,?,-73253808,?,626,20RG,FCL,13583000,4060,34590608,2672774034,?,'[5.20066E8,6.24443E8['
-856000,EXPRT,?,-52119175,?,6394,40HC,FCL,44061000,4103,80980156,2672903857,?,'[2.24119E8,3.11746E8['
-14919000,EXPRT,?,-71681424,?,624,40RG,MTY,10641000,4103,32547592,2672753831,?,'[3.11746E8,3.649E8['
-14153000,EXPRT,?,-70248886,?,624,20RG,MTY,33334000,4185,33532422,2672717993,?,'[3.11746E8,3.649E8['
-15313000,EXPRT,?,-72856001,?,624,20RG,MTY,14064000,4185,33438986,2672733714,?,'[3.11746E8,3.649E8['
-16448000,EXPRT,?,-73802049,?,624,40HC,FCL,12182000,4037,33631332,2672796610,?,'[5.20066E8,6.24443E8['
-14153000,EXPRT,?,-70283281,?,624,40HC,MTY,33291000,4185,33493561,2672739595,?,'[1.058038E9,1.522382E9['
-15247000,EXPRT,?,-71000019,?,624,20RG,MTY,55229500,4185,34093729,2672754547,?,'[3.11746E8,3.649E8['
-16448000,EXPRT,?,-73619330,?,624,20RG,MTY,12054000,4076,33426127,2672801978,?,'[7.8491E7,2.13063E8['
-16595500,EXPRT,?,-73070437,?,626,20RG,MTY,15275000,4185,35849947,2672775567,?,'[3.649E8,4.6604E8['
-16587500,EXPRT,?,-73932166,?,624,20RG,MTY,12092000,4076,33624477,2672797510,?,'[7.8491E7,2.13063E8['
-16448000,EXPRT,?,-73791358,?,624,20RG,MTY,11230000,4185,32975410,2672665698,?,'[4.6604E8,5.20066E8['
-16417000,EXPRT,?,-74025504,?,624,20RG,MTY,11021000,4076,33025501,2672794593,?,'[2.13063E8,2.17554E8['
6756500,EXPRT,?,-11161708,?,3619,20RG,FCL,168031000,4185,178715475,2672796565,?,'[2.24119E8,3.11746E8['
-15628000,EXPRT,?,-73365063,?,624,20RG,MTY,57627000,4185,35419448,2672732017,?,'[4.6604E8,5.20066E8['
-16444000,EXPRT,?,-73478516,?,624,20RG,MTY,12306000,4185,33663640,2672844496,?,'[4.6604E8,5.20066E8['
-16595500,EXPRT,?,-73178717,?,626,20RG,MTY,15382000,4185,35942000,2672689196,?,'[4.6604E8,5.20066E8['
0,EXPRT,?,-22208081,?,3876,20RG,MTY,168762000,4185,113729233,2672772405,?,'[7.8491E7,2.13063E8['
